order_id,customer_id,order_date,store_id,store_name,region,product_id,product_name,category,subcategory,quantity,unit_price,discount_pct,revenue,cost,gross_margin,payment_method,channel,order_status,delivery_days,inventory_on_hand,reorder_level,seller_id,rating,return_flag
O000001,C0018,2025-04-14,S002,Chennai Marina,South,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,5,4178.1,2214.39,1963.71,Credit Card,Mobile App,Delivered,3,27,32,SELLER002,2,0
O000002,C0035,2025-07-27,S003,Mumbai West,West,P007,Desk Lamp,Home,Lighting,3,999,10,2697.3,1456.54,1240.76,Debit Card,Store,Delivered,4,46,39,SELLER003,3,0
O000003,C0052,2025-10-13,S004,Delhi Select,North,P002,Smart Watch,Electronics,Wearables,4,5999,15,20396.6,11218.13,9178.47,Wallet,Web,Shipped,5,65,46,SELLER004,4,0
O000004,C0069,2025-01-26,S005,Hyderabad Hub,South,P013,USB-C Hub,Electronics,Accessories,1,2299,20,1839.2,1029.95,809.25,Net Banking,Mobile App,Processing,,84,53,SELLER005,5,0
O000005,C0086,2025-04-12,S006,Pune Market,West,P008,Yoga Mat,Sports,Fitness,2,1299,0,2598,1480.86,1117.14,UPI,Store,Returned,7,103,25,SELLER006,1,1
O000006,C0103,2025-07-25,S001,Bengaluru Central,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,5,9972.15,5783.85,4188.3,Credit Card,Web,Cancelled,,122,32,SELLER007,2,0
O000007,C0120,2025-10-11,S002,Chennai Marina,South,P014,Office Chair,Office,Furniture,4,8999,10,32396.4,16846.13,15550.27,Debit Card,Mobile App,Delivered,9,141,39,SELLER008,3,0
O000008,C0137,2025-01-24,S003,Mumbai West,West,P009,Backpack,Fashion,Bags,1,1799,15,1529.15,810.45,718.7,Wallet,Store,Delivered,2,160,46,SELLER009,4,0
O000009,C0154,2025-04-10,S004,Delhi Select,North,P004,Running Shoes,Fashion,Footwear,2,2999,20,4798.4,2591.14,2207.26,Net Banking,Web,Delivered,3,179,53,SELLER010,5,0
O000010,C0171,2025-07-23,S005,Hyderabad Hub,South,P015,Skincare Set,Beauty,Personal Care,3,2499,0,7497,4123.35,3373.65,UPI,Mobile App,Shipped,4,18,25,SELLER011,1,0
O000011,C0188,2025-10-09,S006,Pune Market,West,P010,Water Bottle,Sports,Fitness,4,699,5,2656.2,1487.47,1168.73,Credit Card,Store,Processing,,37,32,SELLER012,2,0
O000012,C0205,2025-01-22,S001,Bengaluru Central,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,10,1709.1,974.19,734.91,Debit Card,Web,Returned,6,56,39,SELLER013,3,1
O000013,C0222,2025-04-08,S002,Chennai Marina,South,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,15,4758.3,2759.81,1998.49,Wallet,Mobile App,Cancelled,,75,46,SELLER014,4,0
O000014,C0239,2025-07-21,S003,Mumbai West,West,P011,Cotton Bedsheet,Home,Bedding,3,1599,20,3837.6,1995.55,1842.05,Net Banking,Store,Delivered,8,94,53,SELLER015,5,0
O000015,C0006,2025-10-07,S004,Delhi Select,North,P006,Laptop Stand,Office,Accessories,4,1499,0,5996,3177.88,2818.12,UPI,Web,Delivered,9,113,25,SELLER016,1,0
O000016,C0023,2025-01-20,S005,Hyderabad Hub,South,P001,Wireless Headphones,Electronics,Audio,1,2499,5,2374.05,1281.99,1092.06,Credit Card,Mobile App,Delivered,2,132,32,SELLER017,2,0
O000017,C0040,2025-04-06,S006,Pune Market,West,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,10,3958.2,2177.01,1781.19,Debit Card,Store,Shipped,3,151,39,SELLER018,3,0
O000018,C0057,2025-07-19,S001,Bengaluru Central,South,P007,Desk Lamp,Home,Lighting,3,999,15,2547.45,1426.57,1120.88,Wallet,Web,Processing,,170,46,SELLER001,4,0
O000019,C0074,2025-10-05,S002,Chennai Marina,South,P002,Smart Watch,Electronics,Wearables,4,5999,20,19196.8,10942.18,8254.62,Net Banking,Mobile App,Returned,5,9,53,SELLER002,5,1
O000020,C0091,2025-01-18,S003,Mumbai West,West,P013,USB-C Hub,Electronics,Accessories,1,2299,0,2299,1333.42,965.58,UPI,Store,Cancelled,,28,25,SELLER003,1,0
O000021,C0108,2025-04-04,S004,Delhi Select,North,P008,Yoga Mat,Sports,Fitness,2,1299,5,2468.1,1283.41,1184.69,Credit Card,Web,Delivered,7,47,32,SELLER004,2,0
O000022,C0125,2025-07-17,S005,Hyderabad Hub,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,10,9447.3,5007.07,4440.23,Debit Card,Mobile App,Delivered,8,66,39,SELLER005,3,0
O000023,C0142,2025-10-03,S006,Pune Market,West,P014,Office Chair,Office,Furniture,4,8999,15,30596.6,16522.16,14074.44,Wallet,Store,Delivered,9,85,46,SELLER006,4,0
O000024,C0159,2025-01-16,S001,Bengaluru Central,South,P009,Backpack,Fashion,Bags,1,1799,20,1439.2,791.56,647.64,Net Banking,Web,Shipped,2,104,53,SELLER007,5,0
O000025,C0176,2025-04-02,S002,Chennai Marina,South,P004,Running Shoes,Fashion,Footwear,2,2999,0,5998,3358.88,2639.12,UPI,Mobile App,Processing,,123,25,SELLER008,1,0
O000026,C0193,2025-07-15,S003,Mumbai West,West,P015,Skincare Set,Beauty,Personal Care,3,2499,5,7122.15,4059.63,3062.52,Credit Card,Store,Returned,4,142,32,SELLER009,2,1
O000027,C0210,2025-10-01,S004,Delhi Select,North,P010,Water Bottle,Sports,Fitness,4,699,10,2516.4,1459.51,1056.89,Debit Card,Web,Cancelled,,161,39,SELLER010,3,0
O000028,C0227,2025-01-14,S005,Hyderabad Hub,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,15,1614.15,839.36,774.79,Wallet,Mobile App,Delivered,6,180,46,SELLER011,4,0
O000029,C0244,2025-04-27,S006,Pune Market,West,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,20,4478.4,2373.55,2104.85,Net Banking,Store,Delivered,7,19,53,SELLER012,5,0
O000030,C0011,2025-07-13,S001,Bengaluru Central,South,P011,Cotton Bedsheet,Home,Bedding,3,1599,0,4797,2590.38,2206.62,UPI,Web,Delivered,8,38,25,SELLER013,1,0
O000031,C0028,2025-10-26,S002,Chennai Marina,South,P006,Laptop Stand,Office,Accessories,4,1499,5,5696.2,3132.91,2563.29,Credit Card,Mobile App,Shipped,9,57,32,SELLER014,2,0
O000032,C0045,2025-01-12,S003,Mumbai West,West,P001,Wireless Headphones,Electronics,Audio,1,2499,10,2249.1,1259.5,989.6,Debit Card,Store,Processing,,76,39,SELLER015,3,0
O000033,C0062,2025-04-25,S004,Delhi Select,North,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,15,3738.3,2130.83,1607.47,Wallet,Web,Returned,3,95,46,SELLER016,4,1
O000034,C0079,2025-07-11,S005,Hyderabad Hub,South,P007,Desk Lamp,Home,Lighting,3,999,20,2397.6,1390.61,1006.99,Net Banking,Mobile App,Cancelled,,114,53,SELLER017,5,0
O000035,C0096,2025-10-24,S006,Pune Market,West,P002,Smart Watch,Electronics,Wearables,4,5999,0,23996,12477.92,11518.08,UPI,Store,Delivered,5,133,25,SELLER018,1,0
O000036,C0113,2025-01-10,S001,Bengaluru Central,South,P013,USB-C Hub,Electronics,Accessories,1,2299,5,2184.05,1157.55,1026.5,Credit Card,Web,Delivered,6,152,32,SELLER001,2,0
O000037,C0130,2025-04-23,S002,Chennai Marina,South,P008,Yoga Mat,Sports,Fitness,2,1299,10,2338.2,1262.63,1075.57,Debit Card,Mobile App,Delivered,7,171,39,SELLER002,3,0
O000038,C0147,2025-07-09,S003,Mumbai West,West,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,15,8922.45,4907.35,4015.1,Wallet,Store,Shipped,8,10,46,SELLER003,4,0
O000039,C0164,2025-10-22,S004,Delhi Select,North,P014,Office Chair,Office,Furniture,4,8999,20,28796.8,16126.21,12670.59,Net Banking,Web,Processing,,29,53,SELLER004,5,0
O000040,C0181,2025-01-08,S005,Hyderabad Hub,South,P009,Backpack,Fashion,Bags,1,1799,0,1799,1025.43,773.57,UPI,Mobile App,Returned,2,48,25,SELLER005,1,1
